ENSMUSG00000026147.17	Col9a1
ENSMUSG00000026141.14	Col19a1
ENSMUSG00000125396.1	ENSMUSG00000125396
ENSMUSG00000125434.1	ENSMUSG00000125434
ENSMUSG00000077463.3	Gm26418
ENSMUSG00000099997.2	Tubb4b-ps2
ENSMUSG00000100131.2	Gm28439
ENSMUSG00000067736.3	Gm10222
ENSMUSG00000138098.1	ENSMUSG00000138098
ENSMUSG00000101939.2	Gm28438
ENSMUSG00000101111.2	Gm28437
ENSMUSG00000100862.2	Atp6-ps
ENSMUSG00000102070.2	Gm28661
ENSMUSG00000101249.2	Gm29216
ENSMUSG00000127021.1	ENSMUSG00000127021
ENSMUSG00000073725.9	Lmbrd1
ENSMUSG00000133176.1	ENSMUSG00000133176
ENSMUSG00000129414.1	ENSMUSG00000129414
ENSMUSG00000143216.1	ENSMUSG00000143216
ENSMUSG00000100808.2	Gm28594
ENSMUSG00000130976.1	ENSMUSG00000130976
ENSMUSG00000100483.2	Gm28237
ENSMUSG00000135830.1	ENSMUSG00000135830
ENSMUSG00000100450.2	Gm9443
ENSMUSG00000099392.3	Gm29414
ENSMUSG00000122244.1	ENSMUSG00000122244
ENSMUSG00000033569.18	Adgrb3
ENSMUSG00000080849.2	Gm15702
ENSMUSG00000122289.1	ENSMUSG00000122289
ENSMUSG00000104257.2	Gm20172
ENSMUSG00000119153.1	Gm22260
ENSMUSG00000102296.2	Gm37543
ENSMUSG00000103209.2	Gm37331
ENSMUSG00000104027.2	Gm37211
ENSMUSG00000102407.2	Gm37862
ENSMUSG00000103214.2	Gm38286
ENSMUSG00000104100.2	Gm37880
ENSMUSG00000084740.3	Gm25294
ENSMUSG00000103889.2	Gm37011
ENSMUSG00000101301.2	Gm29214
ENSMUSG00000104221.2	Gm37051
ENSMUSG00000102250.2	Gm38260
ENSMUSG00000102317.2	Gm37628
ENSMUSG00000133748.1	ENSMUSG00000133748
ENSMUSG00000103563.2	8030445P17Rik
ENSMUSG00000102465.2	Gm38198
ENSMUSG00000102659.2	Gm37077
ENSMUSG00000103924.2	Gm37895
ENSMUSG00000104132.2	Gm36952
ENSMUSG00000102747.2	Gm37602
ENSMUSG00000102386.2	2900022M07Rik
ENSMUSG00000103004.2	2900002M20Rik
ENSMUSG00000135201.1	Gm9884
ENSMUSG00000104516.2	Gm9884
ENSMUSG00000130306.1	ENSMUSG00000130306
ENSMUSG00000101618.2	Gm18443
ENSMUSG00000099458.2	Gm19123
ENSMUSG00000088111.3	Gm24064
ENSMUSG00000140232.1	ENSMUSG00000140232
ENSMUSG00000073722.4	Spata31e2
ENSMUSG00000119695.1	n-R5s209
